position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Lazarus Chakwera,Q16202782,2020-06-28,male,1955-04-05,,Lazarus Chakwera 2017.jpg,Lazarus Chakwera
Vice President,Saulos Chilima,Q16214780,2020-02-03,male,1973-02-12,,"Saulos Klaus Chilima, vice president of Malawi speaks during the African Land Forces Summit 2017.jpg",Saulos Chilima
Minister of Agriculture,Lobin C. Lowe,Q108550752,2020-07-08,male,,,,Lobin C. Lowe
Minister of Defence,Lazarus Chakwera,Q16202782,2020-06-28,male,1955-04-05,,Lazarus Chakwera 2017.jpg,Lazarus Chakwera
Minister of Education,Agnes Nyalonje,Q105285313,2020-07-08,female,,,,Agnes Nyalonje
Minister of Energy,Ibrahim Matola,Q5984656,2022-01-28,male,,,,Ibrahim Matola
Minister of Finance,Sosten Gwengwe,Q16216577,2022-01-24,male,1977-05-20,,Sosten Gwengwe 2013 (cropped).jpg,Sosten Gwengwe
Minister of Foreign Affairs,Nancy Tembo,Q6963035,2022-01-28,female,1959,,Nancy Tembo UNFCCC Glasgow Climate Dialogues.jpg,Nancy Tembo
"Minister of Gender, Community Development and Social Welfare",Patricia Kaliati,Q7145664,2020-07-08,female,1967,,,Patricia Kaliati
Minister of Health,Khumbize Chiponda,Q45781572,2020-07-08,female,,,,Khumbize Chiponda
Minister of Homeland Security,Jean Muonaowauza Sendeza,Q109729519,2022-01-28,female,,,,
Minister of Industry and Trade,Mark Phiri,Q110732950,2022-01-26,male,,,,
Minister of Information,Gospel Kazako,Q24565243,2020-07-08,male,1968-12-29,,,Gospel Kazako
Minister of Justice,Titus Mvalo,Q109729450,2020-07-08,male,,,,
Minister of Labour,Vera Kamtukule,Q108438532,2022-01-26,female,,,Vera kamtukule.jpg,Vera Kamtukule
Minister of Lands,Samuel Kawale,Q45782465,2022-01-26,male,,,,
Minister of Local Government and Rural Development,Blessings Chinsinga,Q4926342,2021-12-06,male,,,,Blessings Chinsinga
Minister of Mining,Albert Mbawala,Q110732591,2022-01-28,male,,,,
Minister of National Unity,Timothy Mtambo,Q109729458,2022-01-27,male,,,,
Minister of Natural Resources and Climate Change,Eisenhower Nduwa Mkaka,Q103495356,2022-01-28,male,1973-09-12,,Hon E. Mkaka.jpg,Eisenhower Nduwa Mkaka
Minister of Transport and Public Works,Jacob Hara,Q45781265,2021-12-06,male,,,,
"Minister of Tourism, Culture & Wildlife",Michael Usi,Q6835031,2020-07-08,male,1968,,,Michael Usi
Minister of Water and Sanitation,Abida Sidik Mia,Q109729582,2022-01-28,female,,,,
Minister of Youth and Sports,Richard Chimwendo-Banda,Q45782405,2022-01-28,male,,,,
Deputy Minister of Agriculture,Madalitso Wirima Kambauwa,Q109729501,2022-01-28,female,,,,
Deputy Minister of Defence,Harry Mkandawire,Q45781150,2022-01-28,male,,,,
Deputy Minister of Education,Monica Chang’anamuno,Q110732685,2022-01-28,female,,,,
"Deputy Minister of Gender, Community Development and Social Welfare",Agnes Nkusa Nkhoma,Q109729577,2022-01-27,female,,,,
Deputy Minister of Health,Enock Phale,Q110732701,2022-01-28,male,,,,
Deputy Minister of Lands,Deus Banda,Q45780291,2022-01-28,male,,,,
Deputy Minister of Local Government,Halima Alima Daud,Q109729542,2020-07-08,female,,,,
Deputy Minister of Transport and Public Works,Nancy Chaola Mdooko,Q109729497,2020-07-08,female,,,,
Deputy Minister of Water and Sanitation,John Bande,Q6220526,2022-01-28,male,,,,John Bande
Attorney General,Thabo Chakaka Nyirenda,Q109344941,2021-08-27,male,1982,,Thabo Chakaka Nyirenda.jpg,Thabo Chakaka Nyirenda
Speaker of the National Assembly,Catherine Gotani Hara,Q5052701,2019-06-19,female,,,Catherine Gotani Hara at the U.S. Embassy (cropped).jpg,Catherine Gotani Hara
Governor of the Reserve Bank,Wilson Banda,Q106623416,2020-07,male,,,,
